Name,Gender,Nationality,Birth Year,Death Year
Emmy Andriesse,Female,Dutch,1914,1953
Claudia Andujar,Female,American,1931,
Manuel Angeles Ortiz,Male,Spanish,1895,1984
Ludwig Angerer,Male,Austrian,1827,1879
Bruce Angrave,Male,British,,
Raúl Anguiano,Male,Mexican,1915,2006
Sibyl Anikeef,Female,American,1896,1996
James Craig Annan,Male,British,1864,1946
Thomas Annan,Male,British,1829,1887
David Annesley,Male,British,1936,
Horst Antes,Male,German,1936,
William Anthony,Male,American,1934,
Stephen Antonakos,Male,American,1926,2013
Garo Antreasian,Male,American,1922,
Nemesio Antúnez,Male,Chilean,1918,1993
Richard Anuszkiewicz,Male,American,1930,
Aoki Toshio,,,,
Carl Apfelschnitt,Male,American,1948,
Karel Appel,Male,Dutch,1921,2006
Leon Appelbaum,Male,American,,
Ida Applebroog,Female,American,1929,
Shusaku Arakawa,Male,American,1936,2010
Diane Arbus,Female,American,1923,1971
Aleksandr Archipenko,Male,American,1887,1964
Mordecai Ardon,Male,Israeli,1896,1992
Luis Arenal,Male,Mexican,1909,1985
Egmont Arens,Male,American,1888,1966
Tamotsu Arikawa,Male,Japanese,,
Avigdor Arikha,Male,Romanian,1929,2010
Gonzalo Ariza,Male,Colombian,1912,1995
Alda Maria Armagni,Female,Argentine,,
Siah Armajani,Male,American,1939,
Arman,Male,American,1928,2005
Armando,Male,Dutch,1929,
F. Armbruster,,Nationality unknown,,
Kenneth Armitage,Male,British,1916,2002
John Taylor Arms,Male,American,1887,1953
John Armstrong,Male,British,1893,1973
François Arnal,Male,French,1924,2012
Arndt,,German,1898,1976
Eugène Atget,Male,French,1857,1927
John Atherton,Male,American,1900,1952
Anna Atkins,Female,British,1797,1871
Conrad Atkinson,Male,British,1940,
Lawrence Atkinson,Male,British,1873,1931
Terry Atkinson,Male,British,1939,
Jean-Michel Atlan,Male,French,1913,1960
Dotty Attie,Female,American,1938,
Carl Auböck,Male,Austrian,1924,1993
Charles Aubry,Male,French,1811,1877
Frank Auerbach,Male,British,1931,
Gae Aulenti,Female,Italian,1930,2012
Keith James Aulik,Male,Nationality unknown,,
George Ault,Male,American,1891,1948
Darrel Austin,Male,American,1907,1994
Irving Austin,Male,American,,
Mario Avati,Male,Italian,1921,2009
Edward Avedisian,Male,American,1936,2007
Richard Avedon,Male,American,1923,2004
Frances Avery,Female,American,1910,2006
Milton Avery,Male,American,1885,1965
David Avison,Male,American,,
Mordechai Avniel,Male,Israeli,,
Kiyoshi Awazu,Male,Japanese,1929,2009
Ay-O,Male,Japanese,1931,
Alice Aycock,Female,American,1946,
Pierre Ayot,Male,Canadian,1943,1995
Michael Ayrton,Male,British,1921,1975
Luis Cruz Azaceta,Male,American,1942,
Umetaro Azechi,Male,Japanese,1902,1999
Kengiro Azuma,Male,Japanese,1926,
Johannes Baader,Male,German,1875,1955
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),Male,German,1892,1927
Kurt W. Baasch,Male,American,1891,1964
Alice Baber,Female,American,1928,1982
Bacard Fils,Male,French,,
Edmondo Bacci,Male,Italian,1913,1978
Elvira Bach,Female,German,1951,
Olof Backman,Male,Swedish,1899,
Olof Backstrom,Male,Finnish,1922,
Francis Bacon,Male,British,1909,1992
Peggy Bacon,Female,American,1895,1987
Karl Baden,Male,American,1952,
Mowry Thatcher Baden,Male,American,1936,
Aquiles Badi,Male,Argentine,1894,1976
Libero Badii,Male,Argentine,1916,2001
Frank Badur,Male,German,1944,
Donald Baechler,Male,American,1956,
Jo Baer,Female,American,1929,
Martin Baer,Male,American,1894,1961
Olle Baertling,Male,Swedish,1911,1981
Myrna Báez,Female,American,1931,
John Bageris,Male,American,1924,2000
Heinz Bahr,Male,German,1934,
Malcolm Bailey,Male,American,1947,2011
Oscar Bailey,Male,American,1925,
William Bailey,Male,American,1930,
Larry Bair,Male,American,1952,1990
Eugenie Baizerman,Female,American,1899,1949
Enrico Baj,Male,Italian,1924,2003
E. Bakalowitz Söhne,,Austrian,1845,
Carl Baker,Male,American,,
Mikal Baker,Male,American,1946,
Vagrich Bakhchanyan,Male,Russian,1938,2009
Gerhard H. Bakker,Male,American,,
Léon Bakst,Male,Russian,1866,1924
Gerard Baksteen,Male,Dutch,1887,1976
Amèrico Balán,Male,Argentine,1915,1986
Jirí Balcar,Male,Czech,1929,1968
John Baldessari,Male,American,1931,
George Baldessin,Male,Australian,1939,1978
C. Leroy Baldridge,Male,American,1889,1975
Édouard-Denis Baldus,Male,French,1813,1882
Benjamin Baldwin,Male,American,1913,1993
Joost Baljeu,Male,Dutch,1925,1991
Giacomo Balla,Male,Italian,1871,1958
R. Maxil Ballinger,Male,American,1914,1958
Theo H. Ballmer,Male,Swiss,1902,1965
Alexander Bally,Male,American,1938,
John F. Balossi,Male,American,1931,2007
Balthus (Baltusz Klossowski de Rola),Male,French,1908,2001
Lewis Baltz,Male,American,1945,2014
Thomas Bamberger,Male,American,1948,
McDonald (Mackey Jeffries) Bane,Female,American,1928,
Colette Bangert,Female,American,1934,
Walter Darby Bannard,Male,American,1934,2016
John Banting,Male,British,1902,1972
Rudolf Baranik,Male,American,1920,1998
Vladimir Baranoff-Rossiné,Male,Ukrainian,1888,1944
Anthony Barboza,Male,American,1944,
Miquel Barcelo,Male,Spanish,1957,
Peter Bardazzi,Male,American,1943,
J. Baric,Male,French,1825,1905
Richard Baringer,Male,American,1921,1980
George Barker,Male,Australian,1942,
Walter William Barker,Male,American,1921,2004
Ernst Barlach,Male,German,1870,1938
George Barnard,Male,American,1819,1902
Cyril H. Barnes,Male,American,,
Matthew Rackham Barnes,Male,American,1880,1951
Robert Barnes,Male,American,1934,
Will Barnet,Male,American,1911,2012
Tina Barney,Female,American,1945,
Hannelore Baron,Female,American,1926,1987
Martin Barooshian,Male,American,1929,
Steve Barraclough,Male,British,,
Maurice Barraud,Male,Swiss,1889,1955
Susan Barron,Female,American,1947,
Thomas F. Barrow,Male,American,1938,
D. F. Barry,Male,American,1854,1934
Robert Barry,Male,American,1936,
Robert Bart,Male,American,1923,
Frances Barth,Female,American,1946,
Ruodi Barth,Male,Swiss,1921,1999
Ralph Bartholomew Jr.,Male,American,1907,1985
Jennifer Bartlett,Female,American,1941,
Robert Bartlett,Male,British,1922,1979
Carlo Bartoli,Male,Italian,1931,
Luigi Bartolini,Male,Italian,1892,1963
Joseph Bartscherer,Male,American,1954,
Gianfranco Baruchello,Male,Italian,1924,
Héctor Basaldua,Male,Argentine,1895,1976
Bernard Baschet,Male,French,1917,2015
François Baschet,Male,French,1920,2014
Georg Baselitz,Male,German,1938,
Mati Basis,Male,Israeli,1933,
Leonard Baskin,Male,American,1922,2000
Jean-Michel Basquiat,Male,American,1960,1988
Joel Bass,Male,American,1943,
Saul Bass,Male,American,1920,1996
Giampiero Bassi,,Italian,1926,
Miriam Bat-Yosef,Female,German,1931,
Josef Bato,Male,Hungarian,1888,1966
John Battan,Male,American,1943,1976
Wall Batterton,Male,British,1932,
Dora M. Batty,Female,British,1900,1966
Eugen Batz,Male,German,1905,1986
Harry W. Batz Jr.,Male,American,,
André Bauchant,Male,French,1873,1958
Karl Bauer,Male,German,1868,1942
Rudolph Bauer,Male,American,1889,1954
Mary Bauermeister,Female,American,1934,
Bauhaus,,German,,
Marilyn Baum,Female,American,1939,
Hans Theo Baumann,Male,German,1924,
Otto Baumberger,Male,Swiss,1889,1961
Willi Baumeister,Male,German,1889,1955
Lothar Baumgarten,Male,German,1944,
Edward Bawden,Male,British,1903,1989
Glen Baxter,Male,British,,
Iain Baxter&,Male,Canadian,1936,
Hippolyte Bayard,Male,French,1801,1887
Herbert Bayer,Male,American,1900,1985
Ed Baynard,Male,American,1940,
Thomas Bayrle,Male,German,1937,
Douglas Baz,Male,American,1943,
Jean Bazaine,Male,French,1904,2001
Castera Bazile,Male,Haitian,1923,1966
William Baziotes,Male,American,1912,1963
Gifford Beal,Male,American,1879,1956
Jack Beal,Male,American,1931,2013
Lester Beall,Male,American,1903,1969
Mark Beard,Male,American,1956,
Romare Bearden,Male,American,1911,1988
Aubrey Beardsley,Male,British,1872,1898
Bruce Beasley,Male,American,1939,
Beath,,British,1913,1991
Felice Beato,Male,Italian,1825,1903
Cecil Beaton,Male,British,1904,1980
Leslie Beaton,Female,American,,
Robert Beauchamp,Male,American,1923,1995
André Beaudin,Male,French,1895,1975
Alessandro Becchi,Male,Italian,1946,
Bernd Becher,Male,German,1931,2007
Thelma Becherer,Female,American,1916,2008
Robert Bechtle,Male,American,1932,
Gustav K. Beck,Male,Austrian,1902,1983
A. Becker,,German,,
Fred Becker,Male,American,1913,2004
Bill Beckley,Male,American,1946,
Max Beckmann,Male,German,1884,1950
Francis Bedford,Male,British,1816,1894
René Beeh,Male,German,1886,1922
Jan Bontjes van Beek,Male,German,1899,1969
Chris Hendrik Beekman,Male,Dutch,1887,1964
Max Beerbohm,Male,British,1872,1956
Hedda Beese,Female,German,1944,
Beggarstaffs (James Pryde Scottish 1866-1941 & William Nicholson British 1872-1949),,British,1866,1949
Peter Behrens,Male,German,1868,1940
Edith Behring,Female,Brazilian,1916,1996
John Behringer,Male,American,1939,
J. J. Beljon,Male,Dutch,1922,2002
Alistair Macready Bell,Male,Canadian,1913,1997
Charles M. Bell,Male,American,1848,1893
Larry Bell,Male,American,1939,
Vanessa Bell,Female,British,1879,1961
William H. Bell,Male,American,1830,1910
Ross Bellah,Male,American,1907,2004
Joseph Bellanca,Male,American,1930,
John Bellany,Male,British,1942,2013
Rudolf Belling,Male,German,1886,1972
Mario Bellini,Male,Italian,1935,
Hans Bellmer,Male,German,1902,1975
Ernest J. Bellocq,Male,American,1873,1949
George Bellows,Male,American,1882,1925
Rossella Bellusci,Female,Italian,1947,
Giandomenico Belotti,Male,Italian,1922,
Christian Belpaire,Male,Congolese,1949,
Antoli Pawlowitsch Belski,Male,Russian,1896,1971
David Ben Shaul,Male,Israeli,,
Ahron Ben-Shmuel,Male,American,1903,1984
Ben-Zion,Male,American,1897,1987
Adolf Benca,Male,American,1959,
W. T. Benda,Male,American,1873,1948
C. Whitney Bender,,American,1929,
Niels Sylvester Bendtsen,Male,Danish,1943,
Nair Benedicto,Female,Brazilian,1940,
Luis Fernando Benedit,Male,Argentine,1937,2011
G. A. Beneker,Male,American,1882,1934
Lynda Benglis,Female,American,1941,
Billy Al Bengston,Male,American,1934,
Jim Bengston,Male,American,1942,
Anthony Benjamin,Male,British,,
Gordon Bennett,Male,American,1933,2012
Henry Hamilton Bennett,Male,American,1843,1908
Ward Bennett,Male,American,1917,2003
Alexander Benois,Male,Russian,1870,1960
David Bentley,Male,American,1938,
Nicholas Bentley,Male,British,1907,1978
Thomas Hart Benton,Male,American,1889,1975
Roloff Beny,Male,Canadian,1924,1984
Etienne (Istvan) Béothy,Male,Hungarian,1897,1962
Christian Bérard,Male,French,1902,1949
Roberto Berdecio,Male,Bolivian,1913,1996
Vera Berdich,Female,American,1915,2003
Ed Bereal,Male,American,1937,
Stephen Lynn Berens,Male,American,1952,
Berger (?),,British,1938,
Charles Berger,Male,American,1943,
Jason Berger,Male,American,1924,2010
Hagbard Elis Bergh,Male,Swedish,1881,1954
Håkan Bergkvist,Male,Swedish,1946,
Ella Bergmann-Michel,Female,German,1896,1971
Paul Bergtold,Male,Nationality unknown,,
Henryk Berlewi,Male,Polish,1894,1967
Eugene Berman,Male,American,1899,1972
Mieczyslaw Berman,Male,Polish,1903,1975
Sarah Berman,Female,American,1895,1957
Wallace Berman,Male,American,1926,1976
Zeke Berman,Male,American,1951,
Cundo Bermúdez,Male,Cuban,1914,2008
José Ygnacio Bermudez,Male,Cuban,1922,1988
Thoni Bern,,Swiss,,
Camille Bernabé,Male,French,1808,1900
Émile Bernard,Male,French,1868,1941
Francis Bernard,Male,French,1900,1979
Valère Bernard,Male,French,1860,1936
Jerry Berndt,Male,American,1943,2013
Lucian Bernhard,Male,American,1883,1972
Ruth Bernhard,Female,American,1905,2006
Antonio Berni,Male,Argentine,1905,1981
Janez Bernik,Male,Yugoslav,1933,
Judith Bernstein,Female,American,1942,
Richard Bernstein,Male,American,1939,2002
Jean Berque,Male,French,1896,1954
Miguel Ortiz Berrocal,Male,Spanish,1933,2006
Bertall & Cie.,,French,,
M. Berthaud,,French,,
Palme Berthold,,,,
Berthold-Mahn (Charles Désiré),Male,French,1893,1975
René Bertholo,Male,Portuguese,1935,2005
Paul Berthon,Male,French,1872,1909
Jake Berthot,Male,American,1939,2014
Gianni Bertini,Male,Italian,1922,
Harry Bertoia,Male,American,1915,1978
Emilio Bertonati,Male,Italian,,
Albert Besnard,Male,French,1849,1934
Forrest Bess,Male,American,1911,1977
Ruth Bessoudo Courvoisier,Female,Brazilian,,
Alan Randall Best,Male,Canadian,1958,
William Betsch,Male,American,,
Pierre Betz,Male,French,1899,1969
Wim Beuning,Male,Dutch,1914,1986
Joseph Beuys,Male,German,1921,1986
Art Bevacqua,Male,Nationality unknown,,
Thomas Bewick,Male,British,1753,1828
Jyoti Bhatt,Male,Indian,1934,
Domenico Bianchi,Male,Italian,1955,
Pamela Bianco,Female,American,1906,1994
Fulvio Bianconi,Male,Italian,1915,1996
Carl Bianga,Male,German,,
Alberto Biasi,Male,Italian,1937,
Guido Biasi,Male,Italian,1933,
Ashley Bickerton,Male,British,1959,
George Biddle,Male,American,1885,1973
Charles Biederman,Male,American,1906,2004
James Biederman,Male,American,1947,
Aenne Biermann,Female,German,1898,1933
Wilson Bigaud,Male,Haitian,1931,2010
Max Bill,Male,Swiss,1908,1994
Joseph Binder,Male,American,1898,1972
Ilse Bing,Female,American,1899,1998
Robert J. Bingham,Male,British,1824,1870
Manfred Bingler,Male,Swiss,1928,
Peter Birkhauser,Male,Swiss,1911,1976
Robert Birmelin,Male,American,1933,
Werner Bischof,Male,Swiss,1916,1954
Elmer Bischoff,Male,American,1916,1991
Isabel Bishop,Female,American,1902,1988
James Bishop,Male,American,1927,
Michael Bishop,Male,American,1946,
Maureen Bisilliat,Female,American,1931,
Antonio Bisquert Pérez,Male,Spanish,1906,1990
Julius Bissier,Male,German,1893,1965
Roger Bissière,Male,French,1888,1964
George Bissill,Male,British,1896,1973
Auguste Rosalie Bisson,Male,French,1826,1900
Louis-Auguste Bisson,Male,French,1814,1876
Arnold Bittleman,Male,American,1933,1985
Dolores Dembus Bittleman,Female,American,1931,
Ion Bitzan,Male,Romanian,1924,1997
Judith Black,Female,American,1945,
James Wallace Black,Male,American,1825,1896
Roman Black,Male,Nationality unknown,,
Wendell Black,Male,American,1919,1972
Elizabeth Blackadder,Female,British,1931,
Morris Blackburn,Male,American,1902,1979
Tom Blackwell,Male,American,1938,
Ronald Bladen,Male,American,1918,1988
Nell Blaine,Female,American,1922,1996
Jean-Charles Blais,Male,French,1956,
Jeffrey Blake,Male,American,1954,
Peter Blake,Male,British,1932,
Werner Blaser,Male,Swiss,1924,
Edwin Howland Blashfield,Male,American,1848,1936
Arbit Blatas,Male,American,1908,1999
Ross Bleckner,Male,American,1949,
René Bleibtreu,Male,French,1920,
Blessum,,Nationality unknown,,
André Bloc,Male,Nationality unknown,1896,1966
Albert Bloch,Male,American,1882,1961
Julius Thiengen Bloch,Male,American,1888,1966
Pierrette Bloch,Female,French,1928,
Clarence Lincoln Block,Male,Nationality unknown,,
Gay Block,Female,American,1942,
Barbara Bloom,Female,American,1951,
Hyman Bloom,Male,American,1913,2009
Vern Blosum,Male,American,1936,
Sandra Blow,Female,British,1925,2006
Oscar Bluemner,Male,American,1867,1938
Norman Bluhm,Male,American,1920,1999
Donald Blumberg,Male,American,1935,
Anna Blume,Female,German,1937,
Bernhard Blume,Male,German,1937,2011
Peter Blume,Male,American,1906,1992
Erwin Blumenfeld,Male,German,1897,1969
Instituto Lina Bo e Pietro Maria Bardi,Female,Brazilian,1914,1992
Marcello Boccacci,Male,Italian,1914,1996
Umberto Boccioni,Male,Italian,1882,1916
Mel Bochner,Male,American,1940,
Bengt Böckman,Male,Swedish,1936,
Peter Bodner,Male,Nationality unknown,,
Alighiero Boetti,Male,Italian,1940,1994
Marinus Boezem,Male,Dutch,1934,
Ricardo Bofill,Male,Spanish,1939,
Arthur Emil Bofinger,Male,Swiss,1909,
Jóhanna Boga,Female,Icelandic,,
Varujan Boghosian,Male,American,1926,
Theodor Bogler,Male,German,1897,1968
Alexander Bogomazov,Male,Russian,1880,1930
Blythe Bohnen,Female,American,1940,
Olaf von Bohr,Male,Austrian,1927,
Karl Bohrmann,Male,German,1928,1998
Bruce Boice,Male,American,1941,
Charles Boily,Male,French,,
Boissonas,,Swiss,,
Richard Boix,Male,Spanish,1894,1949
Jakob (Jack) Friedrich Bollschweiler,Male,German,1888,1938
Roger Bolomey,Male,American,1918,
Jay Bolotin,Male,American,1949,
Ilya Bolotowsky,Male,American,1907,1981
Christian Boltanski,Male,French,1944,
Michael Bolus,Male,British,1934,2013
David Bomberg,Male,British,1890,1957
Camille Bombois,Male,French,1883,1970
Giorgio Bompadre,Male,Italian,,
Bona,Female,Italian,1926,
Claus Bonderup,Male,Danish,1943,
Emile Bondonneau,Male,French,,
Muirhead Bone,Male,British,1876,1953
Antonio Bonet,Male,Spanish,1913,1989
Rodolfo Bonetto,Male,Italian,1929,1991
Marcelo Bonevardi,Male,Argentine,1929,1994
Felix Bonfils,Male,French,1831,1885
Dusti Bongé,Female,American,1903,1993
Paolo Boni,Male,Italian,1926,
Pierre Bonnard,Male,French,1867,1947
William Bonnell,Male,American,,
Maria Bonomi,Female,Brazilian,1935,
Robert Bononno,Male,American,,
Lee Bontecou,Female,American,1931,
Fabio Bonzi,Male,Italian,1943,
Peter Booth,Male,Australian,1940,
Osvaldo Borda,Male,Argentine,1929,
Enrico Bordoni,Male,Italian,1904,1969
Paul-Émile Borduas,Male,Canadian,1905,1960
Wendela Boreel,Female,British,,
Francisco Borès,Male,Spanish,1898,1972
Jonathan Borofsky,Male,American,1942,
Arnold von Borsig,Male,German,,
Elena Borstein,Female,American,1946,
Sándor (Alexander) Bortnyik,Male,Hungarian,1893,1976
Fritz Boscovits,Male,Swiss,1871,1965
Derek Boshier,Male,British,1937,
Richard Bosman,Male,Australian,1944,
Michael P. Bosniak,Male,American,,
Rodolphe-Théophile Bosshard,Male,Swiss,1889,1960
Check  Boterf,Male,American,1934,
Fernando Botero,Male,Colombian,1932,
Dorr Bothwell,Female,American,1902,2000
Mario Botta,Male,Swiss,1943,
Kenneth J. Botto,Male,American,1937,
Édouard Boubat,Male,French,1923,1999
René Robert Bouché,Male,American,1905,1963
Jean Boucher,Male,French,,
Alice Boughton,Female,American,1865,1943
Bouillon,,French,,
Firmin Bouisset,Male,French,1859,1925
Bart Boumans,Male,Dutch,,
Christine Boumeester,Female,Dutch,1904,1971
Louis Bouquet,Male,French,1885,1952
Harry Bouras,Male,American,1931,1993
Émile-Antoine Bourdelle,Male,French,1861,1929
Jouineau Bourduge,,French,,
Louise Bourgeois,Female,American,1911,2010
Fergus Bourke,Male,Irish,1934,2004
Margaret Bourke-White,Female,American,1904,1971
Samuel Bourne,Male,British,1834,1912
J. Bouski,,Polish,,
Jean-Louis Boussingault,Male,French,1883,1943
Henri Boutet,Male,French,1851,1919
Boutrou,,French,,
Lynn Bowers,Male,American,1932,
Frank Bowling,Male,Guyanese,1936,
Stanley Boxer,Male,American,1926,2000
Fiske Boyd,Male,American,1895,1975
Fionnuala Boyd,Female,British,1944,
James Henderson Boyd,Male,Canadian,1928,2002
Mark Boyle,Male,British,1934,
James Boynton,Male,American,1928,2010
Paul Brach,Male,American,1924,2007
Angel Bracho,Male,Mexican,1911,2005
M. Leone Bracker,Male,American,1885,1937
Su Braden,Female,British,1940,
Martin Bradley,Male,British,,
Paul Bradley,Male,American,1960,
William Bradley,Male,American,1868,1962
Dove Bradshaw,Male,American,1949,
Mathew B. Brady (studio of),Male,American,1823,1896
Joe Brainard,Male,American,1942,1994
Emile Branchard,Male,American,1881,1938
Constantin Brancusi,Male,French,1876,1957
Hans Brand,Male,German,,
Bill Brandt,Male,British,1904,1983
Marianne Brandt,Female,German,1893,1983
Robert Brandwein,Male,American,1933,1972
Frank Brangwyn,Male,British,1867,1956
Georges Braque,Male,French,1882,1963
Brassaï (Gyula Halász),Male,French,1899,1984
John Randall Bratby,Male,British,1928,1992
Pieter Brattinga,Male,Dutch,1931,
Adolphe Braun,Male,French,1812,1877
Braun et Compagnie,Male,French,,
Victor Brauner,Male,Romanian,1903,1966
Troy Brauntuch,Male,American,1954,
Claudio Bravo,Male,Chilean,1936,2011
Stipe Brcic,Male,Yugoslav,1948,
George Brecht,Male,American,1926,2008
Charles H. Breed,Male,American,1876,1950
Robert Breer,Male,American,1926,2011
Carl-Arne Breger,Male,Swedish,1923,
KP Brehmer,Male,German,1938,1997
Raymond Breinin,Male,American,1910,2000
Joseph Breitenbach,Male,American,1896,1984
Bjorn G. Breitholtz,Male,Swedish,,
Uwe Bremer,Male,German,1940,
Miguel Bresciano,Male,Uruguayan,1937,1979
Rodolphe Bresdin,Male,French,1822,1885
André Breton,Male,French,1896,1966
Marcel Breuer,Male,American,1902,1981
William Brice,Male,American,1921,2008
Charles D. Briddell,Male,American,,
Marilyn Bridges,Female,American,1948,
Barry Bridgwood,Male,American,1957,
G. Stanislaus Brien,,British,,
Judson Briggs,Male,American,1906,
Anne W. Brigman,Female,American,1869,1950
Serge Brignoni,Male,Swiss,1903,2002
Denis Brihat,Male,French,1928,
